,PT_Rn,PT_H,PT_LE,PT_G,PT_T,PT_TET,PT_Temp,2T_Rn,2T_H,2T_LE,2T_G,2T_T,2T_TET,2T_Temp_Soil,2T_Temp_Canopy,LAI,Fc
21,657.8756700722934,127.19851916844091,485.04122811170765,45.63592200439564,344.2928721309839,0.6959643257218228,306.2470910267364,657.6977152937675,130.1993901137086,481.9124142290587,45.59468126180713,344.32145671862037,0.7137196522073511,309.2977403581815,304.006860186805,3.6033112365512503,0.6190246973659929
22,597.2187689805116,111.79072941000798,448.38491338363275,37.043127293576106,349.3831408272856,0.7643178561400229,308.860334309098,596.4017096515555,117.23204478652278,441.83752128512253,39.43444519937354,335.46041498763276,0.7519180259928379,311.40273795456307,306.3685594983012,3.526466951801659,0.5799369523610757
23,416.2700595318833,77.09797137735862,320.74809358807215,18.50084876214297,306.89272364508037,0.9264286059339841,306.8602229344476,421.4397474501371,45.17728217941812,361.25625835684065,16.05582351906112,361.2540764005301,0.999936532938528,309.33371022804494,304.7320633442519,3.5119907967751285,0.5783268501904083
24,588.0148417229086,146.75108190952622,401.75615120166714,39.50928635908384,320.825668742156,0.7497041495783631,306.91029836386707,585.7012561989056,152.82671603138238,392.67363499418633,40.3703018707287,289.7981343340611,0.7124082308279392,308.0333801341891,305.1337385607712,3.457364462506224,0.5387572541316197
25,533.0947575721749,185.64725496394175,309.55347302026195,37.8940303870077,269.0131944229596,0.8556710403081418,308.6134821485896,515.9192220409153,189.81175037433934,289.06283619159706,42.70590369720352,232.77517876900413,0.8152489109792446,310.9841589130195,305.4688069223792,3.3059030539904843,0.49153615933616507
26,605.3738257856194,172.529759702662,380.66064221477154,52.18558187652408,259.74154392873584,0.6770744987238537,310.56562243754985,556.4951401740002,174.43001909593767,334.07778210602874,50.55913659347211,213.95338136669523,0.6605022538443801,312.9435705470845,307.6305651004451,3.3885363913128446,0.5203815150038736
27,540.7384855709505,173.54530601138597,337.80235605558005,29.390823773671414,316.0556261749066,0.8522354425638698,305.2035449413073,534.2971500299648,188.10761459452183,314.342251636775,31.847283178946057,232.29197562954292,0.7522928604504324,306.2937008715573,303.8950967841172,3.544458043144139,0.5790034126441834
28,665.6932816292511,82.94565501808258,499.6265971079106,83.1210288704103,403.40743449885235,0.8063914094505639,305.5543583135495,670.5848058414349,91.0321036948017,499.3368310355141,80.21586949012908,427.2591795853906,0.8479053017736852,308.72284472235316,303.1368047604616,3.4722184806034484,0.6921079002235128
29,617.5938636818951,96.14747478927455,450.1532421915085,71.29314525153328,411.607713115637,0.9286889709839371,308.92602172024436,613.8689995888071,104.54239340467761,433.13290581588694,76.19369750626574,358.8351553983452,0.8726350774137668,311.8268463806807,307.0815890122106,3.474813399915302,0.6989298607588218
30,429.0938440351165,57.510082429751215,348.89430741371825,22.732594987660786,335.5109194299264,0.9495793851390858,306.6671667163004,434.23020067313894,35.71701818189653,379.3354902991636,19.17769195039647,379.2125719876394,0.9990297495767386,308.5899314880371,305.18695573991243,3.4758661257340604,0.7078582001412475
